ID	t	A0	notFoundBySE
0	1.00000	0.442291	
0	5.00000	0.305693	
0	10.0000	0.444892	
0	14.0000	0.427085	
1	1.00000	0.719294	
1	3.00000	0.276646	
1	5.00000	0.153692	
1	7.00000	0.156456	
2	1.00000	0.401710	
2	3.00000	0.373979	
2	5.00000	0.319244	
2	7.00000	0.286761	
2	10.0000	0.244461	
2	14.0000	0.229485	
3	1.00000	0.312830	
3	3.00000	0.490660	
3	5.00000	0.243856	
3	7.00000	0.224242	
3	10.0000	0.240008	
3	14.0000	0.360232	
4	3.00000	0.478845	
4	5.00000	0.402826	
4	7.00000	0.353924	
4	10.0000	0.211197	
5	1.00000	0.441869	
5	3.00000	0.0302813	
5	5.00000	0.415729	
5	10.0000	0.703252	
6	1.00000	0.454447	
6	5.00000	0.354277	
6	7.00000	0.305670	
6	10.0000	0.312863	
7	1.00000	0.340537	
7	3.00000	0.215584	
7	10.0000	0.229309	
7	14.0000	0.153757	
8	1.00000	0.309820	
8	3.00000	0.294070	
8	10.0000	0.292241	
8	14.0000	0.169753	
9	1.00000	0.444041	
9	3.00000	0.392290	
9	5.00000	0.259574	
9	7.00000	0.188800	
9	10.0000	0.682477	
9	14.0000	0.283812	
10	1.00000	0.229193	
10	5.00000	0.185216	
10	7.00000	0.146506	
10	14.0000	0.133163	
11	1.00000	0.429480	
11	3.00000	0.388563	
11	5.00000	0.352789	
11	7.00000	0.302668	
11	10.0000	0.308777	
11	14.0000	0.280997	
12	1.00000	0.444492	
12	3.00000	0.409446	
12	5.00000	0.375161	
12	10.0000	0.289500	
12	14.0000	0.321231	
13	1.00000	0.398219	
13	3.00000	0.532176	
13	5.00000	0.383288	
13	7.00000	0.355318	
13	10.0000	0.293130	
13	14.0000	0.314865	
14	1.00000	0.641623	
14	3.00000	0.593877	
14	5.00000	0.569365	
14	7.00000	0.579533	
14	10.0000	0.536775	
14	14.0000	0.496995	
15	1.00000	0.399733	
15	3.00000	0.370947	
15	5.00000	0.356458	
15	7.00000	0.346401	
15	10.0000	0.313770	
15	14.0000	0.296709	
16	1.00000	0.536976	
16	3.00000	0.461720	
16	5.00000	0.443939	
16	7.00000	0.440630	
16	10.0000	0.373041	
16	14.0000	0.341862	
17	1.00000	0.453784	
17	3.00000	0.407346	
17	5.00000	0.364974	
17	7.00000	0.319009	
17	10.0000	0.327816	
17	14.0000	0.266241	
18	3.00000	0.218306	
18	5.00000	0.0885797	
18	7.00000	0.135700	
18	10.0000	0.0927583	
19	1.00000	0.427231	
19	3.00000	0.406834	
19	5.00000	0.372764	
19	7.00000	0.372274	
19	10.0000	0.294154	
19	14.0000	0.296962	
20	1.00000	0.416205	
20	3.00000	0.449691	
20	5.00000	0.423839	
20	7.00000	0.399190	
20	10.0000	0.181568	
20	14.0000	0.227879	
21	1.00000	0.683772	
21	5.00000	0.551034	
21	7.00000	0.493762	
21	10.0000	0.565561	
21	14.0000	0.551291	
22	1.00000	0.415775	
22	3.00000	0.428437	
22	5.00000	0.358728	
22	7.00000	0.339519	
22	10.0000	0.333513	
22	14.0000	0.332932	
23	1.00000	0.331608	
23	3.00000	0.314342	
23	5.00000	0.259509	
23	7.00000	0.223161	
23	10.0000	0.215075	
24	1.00000	0.446867	
24	3.00000	0.389505	
24	5.00000	0.357715	
24	7.00000	0.331397	
24	10.0000	0.301763	
24	14.0000	0.257418	
25	1.00000	0.521388	
25	3.00000	0.445412	
25	5.00000	0.421604	
25	7.00000	0.0764562	
25	10.0000	0.466201	
25	14.0000	0.264172	
26	1.00000	0.308481	
26	3.00000	0.346571	
26	5.00000	0.225415	
26	7.00000	0.207203	
26	14.0000	0.128112	
27	1.00000	0.288159	
27	3.00000	0.140488	
27	10.0000	0.208032	
27	14.0000	0.150545	
28	1.00000	0.317463	
28	3.00000	0.336854	
28	5.00000	0.201169	
28	10.0000	0.235918	
28	14.0000	0.163410	
29	3.00000	0.338946	
29	5.00000	0.384952	
29	10.0000	0.255952	
29	14.0000	0.530041	
30	3.00000	0.460182	
30	5.00000	0.405716	
30	7.00000	0.238147	
30	10.0000	0.339688	
30	14.0000	0.284092	
31	1.00000	0.254057	
31	3.00000	0.217476	
31	5.00000	0.138446	
31	7.00000	0.0262140	
31	10.0000	0.127137	
32	1.00000	0.501990	
