Uniprot	GeneName	ProteinName	No. Peptides	k.mean	k.sd	k.mean.cv	k.median	k.mad	k.median.cv	normality
Q91VJ4	Stk38	Serine/threonine-protein kinase 38 (EC 2.7.11.1) (NDR1 protein kinase) (Nuclear Dbf2-related kinase 1)	1	0.308	NA	NA	0.308	NA	NA	0
P61759	Vbp1	Prefoldin subunit 3 (Von Hippel-Lindau-binding protein 1) (VBP-1) (VHL-binding protein 1)	1	0.206	NA	NA	0.206	NA	NA	0
Q9WTR5	Cdh13	Cadherin-13 (Heart cadherin) (H-cadherin) (Truncated cadherin) (T-cad) (T-cadherin)	7	0.068	0.0276767050061961	0.407010367738178	0.074	0.0311346	0.420737837837838	0.745743151166678
Q8K215	Lyrm4	LYR motif-containing protein 4	2	0.0495	0.0275771644662754	0.557114433662128	0.0495	0.0289107	0.584054545454545	0
Q62188	Dpysl3	Dihydropyrimidinase-related protein 3 (DRP-3) (Unc-33-like phosphoprotein 1) (ULIP-1)	2	0.1055	0.00353553390593274	0.033512169724481	0.1055	0.0037065	0.035132701421801	0
Q91VI7	Rnh1	Ribonuclease inhibitor (Ribonuclease/angiogenin inhibitor 1)	7	0.132142857142857	0.0194630296667688	0.147287792072845	0.123	0.0103782	0.0843756097560975	0.0763928160221393
P08752	Gnai2	Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein)	2	0.107	0.00707106781186548	0.0660847459052849	0.107	0.00741300000000001	0.0692803738317758	0
Q9WU28	Pfdn5	Prefoldin subunit 5 (C-Myc-binding protein Mm-1) (EIG-1) (Myc modulator 1)	1	0.083	NA	NA	0.083	NA	NA	0
Q91VH6	Memo1	Protein MEMO1 (Mediator of ErbB2-driven cell motility 1) (Memo-1)	1	0.116	NA	NA	0.116	NA	NA	0
Q9WTP7	Ak3	GTP:AMP phosphotransferase AK3, mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3) (Adenylate kinase 3 alpha-like 1)	4	0.04725	0.00287228132326901	0.0607890227146881	0.0465	0.0022239	0.0478258064516129	0.272453161730903
Q9WTP6	Ak2	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) [Cleaved into: Adenylate kinase 2, mitochondrial, N-terminally processed]	5	0.0262	0.00414728827066554	0.15829344544525	0.026	0.0029652	0.114046153846154	0.995239643883553
Q9CZY3	Ube2v1	Ubiquitin-conjugating enzyme E2 variant 1 (UEV-1) (CROC-1)	1	0.052	NA	NA	0.052	NA	NA	0
Q62167	Ddx3x	ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (D1Pas1-related sequence 2) (DEAD box RNA helicase DEAD3) (mDEAD3) (DEAD box protein 3, X-chromosomal) (Embryonic RNA helicase)	1	0.425	NA	NA	0.425	NA	NA	0
P16332	Mut	Methylmalonyl-CoA mutase, mitochondrial (MCM) (EC 5.4.99.2) (Methylmalonyl-CoA isomerase)	10	0.0867	0.00881980095517404	0.101727808018155	0.088	0.007413	0.0842386363636363	0.578426817722417
P14152	Mdh1	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase)	34	0.0585	0.0143869680087518	0.245931077072681	0.059	0.0111195	0.188466101694915	0.153916895836059
Q64338	Pde1c	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C (Cam-PDE 1C) (EC 3.1.4.17)	1	0.271	NA	NA	0.271	NA	NA	0
Q9CZX8	Rps19	40S ribosomal protein S19	8	0.07575	0.0161488610832379	0.213186284927232	0.0805	0.0051891	0.0644608695652174	0.0414132496439811
